LocID,LocName,Latitude,Longitude
116576,The Crossing New Canaan,41.149456,-73.490046
116543,Littleman Parking 2 12th Street - Tesla Destination,40.750728,-74.024441
116540,1 Dark Woods Road,41.394063,-70.529197
116521,Northern Westchester Hospital,41.197824,-73.724513
116436,North Kingstown Golf Course,41.59858,-71.4297
116430,Hammonasset Ford,41.2821735243186,-72.6311337450467
116429,Paul Masse Chevrolet South,41.4378984129454,-71.5005008946257
116427,Westerly Community Credit Union,41.4455666133072,-71.4771677361353
116351,1313 Jefferson Street,40.75347,-74.03328
116348,Bay Ridge Toyota,40.63557,-74.01628
116196,Wauregan Garage,41.5250173168043,-72.075354470515
116192,Washington Park,41.357016,-72.07603
116188,Bob Valenti Chevrolet,41.3760952921481,-71.9526984008159
116112,Heritage Tower Condominium,41.037978172,-73.7634280134
116103,Brixmor North Ridge Shopping Center,40.94924,-73.79149
116072,570 Washington Boulevard,40.728475,-74.033944
115906,2405 Nooseneck Hill Road,41.663066,-71.602577
115714,Energy Plus Site 8,40.781104,-73.984478
115690,Mather Drive Parking Lot,40.901609,-73.075718
115598,North Coast Subaru,40.864143,-73.626372
115471,"North Bergen, NJ Supercharger",40.775375,-74.034666
115363,Aresco Management,40.80866,-73.23714
115279,Morris Township Streeter Pool,40.81201,-74.504944
115269,Hudson County Skyway,40.733324,-74.091869
115209,Amsterdam Park,41.197216,-73.81825
115132,"Syosset - Jericho Tpke, NY Supercharger",40.8109,-73.5054
115122,Bogart's Auto and Towing,41.587908,-73.70852
115087,Power Plant-Rockville Center,40.658528,-73.639526
115076,Queens | Elmhurst | 81-09 41st Ave,40.745853,-73.884134
115075,Queens | Astoria | 30-10 35th Street,40.765233,-73.918436
115074,Manhattan | Upper West  Side | 125 W 76th Street,40.780397,-73.977729
115025,Cpp Clubhouse Station,40.776546,-73.449974
115008,Pelham Village,40.909786,-73.811262
114999,Ursus Chalet,41.060054,-75.598746
114992,Carbon Hospital,40.810305,-75.74711
114922,Oak Bluffs Public Library,41.455296,-70.567215
114919,Aquinnah Cliffs Overlook,41.3467973187482,-70.8363630712247
114918,Falmouth Marine Park,41.5483549984171,-70.6038853032863
114917,Ferry Parking,41.5604020805565,-70.6199186358808
114870,"Portsmouth, RI Supercharger",41.617703,-71.247255
114802,Riverhead Motors Station 1,40.925903,-72.68885
114633,Overpeck County Park,40.862037,-74.008366
114624,Holiday Inn Express Ramsey-Mahwah,41.0654174,-74.1293638
114542,200 Madison Avenue,40.787039,-74.45358
114527,BNE Master Fairfield #1,40.879622,-74.268646
114423,BMW Waterbury,41.541754,-72.989666
114268,Town Hall,41.155498,-73.774256
114233,Morris Township Town Hall,40.781414,-74.46255
114229,Chappaqua Train station,41.157475,-73.774919
114210,Audi New Rochelle,40.912149128,-73.778914888
114149,"Easton, PA Supercharger",40.739349,-75.263529
114108,Bergen Community College Student Center,40.951332,-74.09112
114064,BLT Station #2,41.144623,-73.43002
114054,"Staten Island, NY Supercharger",40.612043,-74.156647
114053,"Brooklyn - Cropsey Ave, NY Supercharger",40.58144,-73.984943
114018,NYS Parks Station 1,40.68306,-73.643105
114005,"Richmond, RI Supercharger",41.513891,-71.698256
113900,Lookout II,41.078872,-73.868272
113854,St. Joseph's College Faculty Lot,40.775278,-73.02523
113812,211 East Main Street,41.456087,-72.798625
113572,The Jewish Home at Rockleigh,41.007947,-73.931577
113562,Westfield Southshore,40.73685,-73.24514
113509,Autoworld Kia Station 1,40.723663,-73.542769
113463,Yale West Campus #1,41.25826,-72.989151
113433,Millburn Municipal Parking Lot 2,40.725793,-74.30657
113412,Waterline 2 garage,40.7733,-73.991532
113406,Mercedes-Benz of Caldwell Front Lot 1,40.85637,-74.313761
113388,Fins Up! Water Park,41.673891,-70.310494
113386,The Hub Shopping Mall,40.70601,-73.63095
113384,PREIT Dartmouth Mall,41.64246,-70.99049
113342,Hudson Cadillac Buick GMC,41.628082,-73.917271
112747,AMC Rockaway 16,40.909288,-74.557643
112673,Ikea,40.672092,-74.011374
112646,The M.J. Sullivan Automotive,41.363022,-72.117612
112640,Waterline Square Station,40.772916,-73.99263
112600,Colonial Needle,41.02742,-73.776051
112583,Stop and Shop,41.583927,-72.505167
112566,"Melville, NY Supercharger",40.798738,-73.41226
112517,Fishkill Town Hall,41.526429,-73.922451
112445,Newport Marriott,41.4904025806574,-71.3178880935718
112444,The Brenton Hotel,41.4897268063936,-71.317551400067
112440,"UBP Valley Ridge - Wayne, NJ",40.93161,-74.22765
112421,D3 North Garage,41.383706,-73.531423
112383,"Rocky Hill, CT Supercharger",41.653283,-72.679252
112378,"Koeppel Hyundai - Queens, NY",40.754038,-73.919413
112293,"Southington, CT Supercharger",41.612009,-72.900661
112245,OK Auto,40.71382,-75.09121
112170,Boro Park Center,40.638545,-73.998658
112165,Arts Center,40.95662,-74.161674
112142,Kia Of Groton CT Charger 1,41.373512,-72.073713
112112,UBP Pompton Lakes,41.00742,-74.29353
111978,Carriage House Inn Parking Lot,41.505453,-71.29777
111896,Memorial Park Lot,40.759474303915,-74.399108280009
111895,Green Avenue Lot,40.757956301893,-74.416975759672
111885,Hyatt Place Fort Lee,40.862299,-73.976057
111846,"Lener Denville Square - Denville, NJ",40.89403,-74.47822
111745,Madison Community Arts Center,40.760395255558,-74.418095839165
111744,Kings Road Lot,40.75599518,-74.41524125
111742,Elmer Street Lot,40.758757309573,-74.413663258371
111691,500 WPA,41.0179263,-73.6452507
111604,Northeast Bronx YMCA,40.8830939,-73.8425036
