Name,Duration From,Duration To,Observation 1 City,Observation 1 Street,Observation 1 Postal Code,Observation 1 Coordinates,Observation 2 City,Observation 2 Street,Observation 2 Postal Code,Observation 2 Coordinates,Distance(meters),Duration(seconds),NDT,Road Type
trafficData187032.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 521,8220,"56.153135887760996, 10.139060373016491",Aarhus,Åby Ringvej 521,8230,"56.16018043015113, 10.143520804893456",1055,90,42,MAJOR_ROAD
trafficData187059.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Åby Ringvej 0,8230,"56.1601908856982, 10.143257948409996",Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",1619,131,44,MAJOR_ROAD
trafficData187085.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",Aarhus,Åby Ringvej 303,8230,"56.16018043015113, 10.143520804893456",1578,124,46,MAJOR_ROAD
trafficData187112.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 0,8230,"56.148242094184255, 10.149874309192683",Aarhus,Silkeborgvej 521,8220,"56.153267352820414, 10.139025504299298",1023,91,40,MAJOR_ROAD
trafficData187138.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 521,8220,"56.153135887760996, 10.139060373016491",Aarhus,Viby Ringvej 0,8230,"56.148158423711955, 10.149694601188685",995,69,52,MAJOR_ROAD
trafficData187165.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 0,8230,"56.148242094184255, 10.149874309192683",Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",1547,126,44,MAJOR_ROAD
trafficData187191.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",Aarhus,Viby Ringvej 303,8230,"56.148158423711955, 10.149694601188685",1596,127,45,MAJOR_ROAD
trafficData187218.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 0,8230,"56.148158423711955, 10.149694601188685",Aarhus,Søren Frichs Vej 80,8230,"56.14774074192765, 10.158060728836062",653,67,35,MAJOR_ROAD
trafficData187244.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Søren Frichs Vej 80,8230,"56.14774074192765, 10.158060728836062",Aarhus,Viby Ringvej 80,8230,"56.148242094184255, 10.149874309192683",641,65,36,MAJOR_ROAD
trafficData187271.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 104,8230,"56.14051551675728, 10.154338145998054",Aarhus,Søren Frichs Vej 80,8230,"56.14774074192765, 10.158060728836062",1080,84,46,MAJOR_ROAD
trafficData187297.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Søren Frichs Vej 80,8230,"56.14774074192765, 10.158060728836062",Aarhus,Viby Ringvej 104,8230,"56.1404960893661, 10.154132957008414",1093,91,43,MAJOR_ROAD
trafficData187324.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 104,8230,"56.1404960893661, 10.154132957008414",Aarhus,Haveforening Af 1918 4,8000,"56.13953206657349, 10.177203408737114",2013,137,53,MAJOR_ROAD
trafficData187350.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Marselis Boulevard 174,8000,"56.13962771141822, 10.177235595245293",Aarhus,Viby Ringvej 104,8230,"56.14051551675728, 10.154338145998054",1873,109,62,MAJOR_ROAD
trafficData187377.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 0,8260,"56.13203209461566, 10.157658842922274",Aarhus,Haveforening Af 1918 4,8000,"56.13953206657349, 10.177203408737114",1837,119,56,MAJOR_ROAD
trafficData187403.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Marselis Boulevard 174,8000,"56.13962771141822, 10.177235595245293",Aarhus,Viby Ringvej 174,8260,"56.13199024175818, 10.157454995037142",1904,126,54,MAJOR_ROAD
trafficData187430.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 0,8260,"56.13199024175818, 10.157454995037142",Aarhus,Skanderborgvej 222,8260,"56.125829583613914, 10.157709017196566",902,90,36,MAJOR_ROAD
trafficData187456.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 223,8260,"56.125743621869944, 10.15788067857352",Aarhus,Viby Ringvej 223,8260,"56.13203209461566, 10.157658842922274",928,91,37,MAJOR_ROAD
trafficData187483.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Viby Ringvej 0,8260,"56.13199024175818, 10.157454995037142",Aarhus,Skanderborgvej 169,8260,"56.13096577062022, 10.166318618385276",858,102,30,MAJOR_ROAD
trafficData187509.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 168,8260,"56.131053962866226, 10.166163050262412",Aarhus,Viby Ringvej 168,8260,"56.13203209461566, 10.157658842922274",823,84,35,MAJOR_ROAD
trafficData187536.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Risskov,Grenåvej 105,8240,"56.18290049276627, 10.21780255092608",Aarhus,Nordre Ringgade 98,8200,"56.17405423428392, 10.213484466270415",1096,105,38,MAJOR_ROAD
trafficData187562.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nordre Ringgade 98,8200,"56.17405423428392, 10.213484466270415",Risskov,Grenåvej 105,8240,"56.18290049276627, 10.217978235616556",1099,99,40,MAJOR_ROAD
trafficData187589.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nordre Ringgade 64B,8200,"56.17243586196818, 10.209219127208598",Aarhus,Randersvej 54,8200,"56.17606861552515, 10.201770887067823",802,93,31,MAJOR_ROAD
trafficData187615.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus Municipality,Randersvej 51,8200,"56.176038754874654, 10.201616660049467",Aarhus,Nordre Ringgade 64B,8200,"56.17235120664372, 10.209275766864721",839,97,31,MAJOR_ROAD
trafficData187642.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nordre Ringgade 64B,8200,"56.17243586196818, 10.209219127208598",Aarhus,Nørrebrogade 45,8000,"56.16813760017301, 10.20690854480938",730,86,31,MAJOR_ROAD
trafficData187668.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nørrebrogade 44,8000,"56.16816672029917, 10.207060089618722",Aarhus,Nordre Ringgade 64B,8200,"56.17235120664372, 10.209275766864721",691,76,33,MAJOR_ROAD
trafficData187695.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nordre Ringgade 0,8000,"56.171122550932225, 10.201447428241636",Aarhus,Randersvej 54,8200,"56.17606861552515, 10.201770887067823",752,89,30,MAJOR_ROAD
trafficData187721.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus Municipality,Randersvej 51,8200,"56.176038754874654, 10.201616660049467",Aarhus,Nordre Ringgade 3,8000,"56.17122707649042, 10.201380373016264",700,72,35,MAJOR_ROAD
trafficData187748.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nordre Ringgade 0,8000,"56.171122550932225, 10.201447428241636",Aarhus,Nørrebrogade 45,8000,"56.16813760017301, 10.20690854480938",604,69,32,MAJOR_ROAD
trafficData187774.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Nørrebrogade 44,8000,"56.16816672029917, 10.207060089618722",Aarhus,Nordre Ringgade 3,8000,"56.17122707649042, 10.201380373016264",643,90,26,MAJOR_ROAD
trafficData187801.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Vestre Ringgade 61,8200,"56.16945046812791, 10.194338714120931",Aarhus,Paludan-Müllers Vej 95,8210,"56.170278565367, 10.186652602364234",671,86,28,MAJOR_ROAD
